Composition_ID,Mo_mp,Nb_mp,Ti_mp,Zr_mp,T_eutectic,T_solvus,difference
1663,5,35,5,35,1691.007191,2801.021015,1110.013824
1664,5,35,10,30,1908.710118,2940.308524,1031.598406
1665,5,35,15,25,2110.528551,3033.998827,923.4702765
1666,5,35,20,20,2325.447983,3099.557071,774.1090882
1667,5,35,25,15,2438.62367,3137.198804,171.3763298
1668,5,35,30,10,2406.848132,3136.265147,203.1518683
1669,5,35,35,5,2216.365056,3060.227191,343.6349442
1670,5,40,5,30,1762.82993,2830.838965,1068.009035
1671,5,40,10,25,2087.385694,2966.282562,878.8968676
1672,5,40,15,20,2361.960477,3052.033983,690.0735057
1673,5,40,20,15,2483.8807,3103.059737,136.1192999
1674,5,40,25,10,2459.350246,3112.816064,160.6497543
1675,5,40,30,5,2280.415215,3046.841927,279.584785
1676,5,45,5,25,1954.305531,2856.548617,902.2430867
1677,5,45,10,20,2349.258584,2985.216518,635.9579341
1678,5,45,15,15,2513.488656,3057.423974,116.5113443
1679,5,45,20,10,2497.06052,3081.671063,122.9394804
1680,5,45,25,5,2331.909329,3028.010306,232.0906708
1681,5,50,5,20,2181.482377,2876.004238,378.5176229
1682,5,50,10,15,2505.629719,2992.35435,114.3702808
1683,5,50,15,10,2518.420196,3038.986,520.5658043
1684,5,50,20,5,2370.18347,3001.53075,199.8165299
1685,10,5,15,50,1795.591665,2887.913563,784.4083354
1686,10,5,20,45,1798.508251,2981.646792,981.4917493
1687,10,5,25,40,1798.541981,3062.611374,1213.458019
1688,10,5,30,35,1801.289998,3132.681056,1331.391058
1689,10,5,35,30,1810.739172,3191.814101,1381.074929
1690,10,5,40,25,1873.687018,3238.369741,1086.312982
1691,10,5,45,20,2022.17174,3268.691182,917.8282598
1692,10,5,50,15,2014.830355,3275.651972,685.1696446
1693,10,10,10,50,1789.99488,2828.351866,1038.356985
1694,10,10,15,45,1818.785409,2937.94511,1119.159701
1695,10,10,20,40,1827.558254,3028.3523,1200.794045
1696,10,10,25,35,1832.243018,3104.977373,1272.734355
1697,10,10,30,30,1837.52257,3169.208579,1331.686009
1698,10,10,35,25,1880.517619,3220.136235,1339.618616
1699,10,10,40,20,1880.517619,3220.136235,1339.618616
1700,10,10,45,15,2139.632449,3265.681167,662.367551
1701,10,10,50,10,2084.002989,3238.868887,533.9970109
1702,10,15,5,50,1673.052931,2728.432027,1055.379096
1703,10,15,10,45,1800.910741,2874.957311,1074.04657
1704,10,15,15,40,1839.850044,2982.193714,1142.34367
1705,10,15,20,35,1853.358613,3069.050927,1215.692313
1706,10,15,25,30,1865.227909,3140.57215,1275.344241
1707,10,15,30,25,1922.259024,3197.333538,1275.074514
1708,10,15,35,20,2113.751168,3236.901789,1123.150621
1709,10,15,40,15,2278.922658,3252.99697,671.0773415
1710,10,15,45,10,2245.053561,3231.415891,986.3623301
1711,10,15,50,5,2013.119503,3131.844217,606.8804975
1712,10,20,5,45,1674.031032,2771.237846,1097.206815
1713,10,20,10,40,1806.704353,2916.819573,1110.11522
1714,10,20,15,35,1856.889732,3021.407439,1164.517708
1715,10,20,20,30,1889.768593,3103.926352,1214.157759
1716,10,20,25,25,1979.67325,3168.71684,1189.04359
1717,10,20,30,20,2201.716845,3214.888919,928.2831552
1718,10,20,35,15,2399.378349,3236.992782,570.6216509
1719,10,20,40,10,2387.262544,3221.431165,834.1686213
1720,10,20,45,5,2124.586604,3128.650422,1004.063818
1721,10,25,5,40,1674.599758,2810.309992,1135.710234
1722,10,25,10,35,1812.275075,2954.535993,1142.260918
1723,10,25,15,30,1896.424819,3055.654347,1159.229528
1724,10,25,20,25,2030.91987,3132.213308,1101.293438
1725,10,25,25,20,2277.373776,3187.191279,909.8175032
1726,10,25,30,15,2478.624972,3216.754226,738.1292533
1727,10,25,35,10,2484.028311,3208.245429,724.2171175
1728,10,25,40,5,2231.229063,3123.042842,408.7709369
1729,10,30,5,35,1675.027418,2846.100019,1171.072601
1730,10,30,10,30,1851.353757,2988.076359,1136.722602
1731,10,30,15,25,2056.531627,3084.102824,1027.571196
1732,10,30,20,20,2056.531627,3084.102824,821.087799
1733,10,30,25,15,2522.460572,3190.895115,257.5394285
1734,10,30,30,10,2535.966642,3190.894061,154.0333576
1735,10,30,35,5,2316.738157,3114.315049,323.2618431
1736,10,35,5,30,1675.398174,2878.484602,1203.086428
1737,10,35,10,25,2028.595502,3016.557288,773.4044984
1738,10,35,15,20,2362.167935,3104.486566,742.3186307
1739,10,35,20,15,2546.957754,3157.205869,133.0422456
1740,10,35,25,10,2559.741349,3167.947819,130.2586505
1741,10,35,30,5,2375.616731,3101.477499,262.3832686
1742,10,40,5,25,1898.356733,2906.538715,1008.181982
1743,10,40,10,20,2348.828604,3037.715383,688.8867785
1744,10,40,15,15,2560.206836,3111.808803,119.7931639
1745,10,40,20,10,2569.728376,3137.15614,110.2716244
1746,10,40,25,5,2410.523902,3083.086236,213.476098
1747,10,45,5,20,2188.890022,2928.023764,411.1099775
1748,10,45,10,15,2546.067301,3046.643702,113.9326991
1749,10,45,15,10,2569.4914,3094.596062,110.5086
1750,10,45,20,5,2428.666579,3056.886293,191.3334215
1751,10,50,5,15,2390.336397,2938.170649,219.6636033
1752,10,50,10,10,2546.729039,3032.147819,113.2709611
1753,10,50,15,5,2435.20985,3018.96534,583.7554893
1754,15,5,10,50,1773.289324,2861.248478,168.7106763
1755,15,5,15,45,1796.235593,2972.838878,1003.764407
1756,15,5,20,40,1803.244726,3065.13452,1261.889794
1757,15,5,25,35,1808.31274,3143.636883,1335.324143
1758,15,5,30,30,1815.34022,3209.781802,1394.441581
1759,15,5,35,25,1815.34022,3209.781802,1394.441581
1760,15,5,40,20,1815.34022,3209.781802,1394.441581
1761,15,5,45,15,2117.54629,3311.895933,1194.349643
1762,15,5,50,10,2090.513122,3286.30879,1195.795668
1763,15,10,5,50,1662.783327,2761.307924,1098.524597
1764,15,10,10,45,1788.96374,2910.116078,1121.152339
1765,15,10,15,40,1821.413209,3009.6,1188.186791
1766,15,10,20,35,1832.457687,3108.264352,1275.806665
1767,15,10,25,30,1841.13617,3181.737023,1340.600853
1768,15,10,30,25,1885.323216,3240.440904,1355.117688
1769,15,10,35,20,2072.363607,3281.89929,1209.535683
1770,15,10,40,15,2278.15582,3299.691625,581.8441801
1771,15,10,45,10,2284.917962,3279.2726,395.0820384
1772,15,10,50,5,2019.403227,3179.384262,1159.981035
1773,15,15,5,45,1664.427344,2806.460513,1142.033169
1774,15,15,10,40,1793.976922,2954.377681,1160.400759
1775,15,15,15,35,1837.426204,3061.104787,1223.678583
1776,15,15,20,30,1862.906962,3145.653112,1282.74615
1777,15,15,25,25,1936.571891,3212.404359,1275.832468
1778,15,15,30,20,2164.358033,3260.443555,1096.085522
1779,15,15,35,15,2423.265865,3284.196665,476.7341345
1780,15,15,40,10,2464.598171,3269.743225,253.4018294
1782,15,20,5,40,1665.039895,2847.940493,1182.900599
1783,15,20,10,35,1798.376331,2994.552355,1196.176025
1784,15,20,15,30,1867.02232,3097.841624,1230.819304
1785,15,20,20,25,1986.128342,3176.422617,1190.294274
1786,15,20,25,20,2250.016663,3233.273954,983.2572912
1787,15,20,30,15,2519.257025,3264.458694,400.7429748
1788,15,20,35,10,2579.495919,3257.018674,152.5040808
1789,15,20,40,5,2295.005982,3171.452189,382.9940178
1790,15,25,5,35,1665.140527,2886.13021,1220.989683
1791,15,25,10,30,1817.596841,3030.52569,1212.928849
1792,15,25,15,25,2009.88775,3128.705816,1004.91225
1793,15,25,20,20,2311.147442,3198.188917,887.0414749
1794,15,25,25,15,2565.865767,3239.050437,254.1342333
1795,15,25,30,10,2626.051159,3240.100861,113.9488409
1796,15,25,35,5,2395.133919,3163.154673,285.0660809
1797,15,30,5,30,1665.030202,2920.833504,1255.803302
1798,15,30,10,25,1977.120728,3061.324173,1084.203445
1799,15,30,15,20,2346.135984,3151.311691,805.1757065
1800,15,30,20,15,2585.047912,3205.712154,134.9520883
1801,15,30,25,10,2633.134312,3217.522422,106.8656877
1802,15,30,30,5,2452.639557,3150.705258,227.3604428
1803,15,35,5,25,1835.758802,2951.047043,1115.288241
1804,15,35,10,20,2336.942204,3084.577204,747.6349998
1805,15,35,15,15,2592.883437,3160.495856,117.1165626
1806,15,35,20,10,2626.070401,3186.983792,103.9295992
1807,15,35,25,5,2474.842171,3132.624046,195.1578293
1808,15,40,5,20,2191.005763,2974.437704,438.9942366
1809,15,40,10,15,2579.839326,3095.224723,515.3853974
1810,15,40,15,10,2612.30693,3144.489847,97.69307012
1811,15,40,20,5,2477.304367,3106.607621,182.6956325
1812,15,45,5,15,2428.817725,2986.0971,311.1822747
1813,15,45,10,10,2579.455377,3081.794762,212.5446233
1814,15,45,15,5,2469.586635,3068.669189,599.0825539
1815,15,50,5,10,2460.317648,2974.963875,279.6823517
1816,15,50,10,5,2452.667156,3010.600833,557.9336772
1817,20,5,5,50,1655.879839,2790.414584,1134.534745
1818,20,5,10,45,1778.168757,2941.024216,856.6312431
1819,20,5,15,40,1804.095086,3052.058944,1031.904914
1820,20,5,20,35,1804.095086,3052.058944,1328.245358
1821,20,5,25,30,1824.284187,3217.986755,1393.702568
1822,20,5,30,25,1824.284187,3217.986755,1415.820008
1823,20,5,35,20,2025.290581,3322.108492,1296.817911
1824,20,5,40,15,2219.773717,3341.789602,490.2262825
1825,20,5,45,10,2244.932324,3322.78106,1077.848737
1826,20,5,50,5,2001.185867,3222.834401,1221.648534
1827,20,10,5,45,1656.15929,2837.540044,1181.380754
1828,20,10,10,40,1787.732794,2987.39194,1199.659146
1829,20,10,15,35,1824.093082,3095.977425,1209.906918
1830,20,10,20,30,1844.5613,3182.404415,1337.843115
1831,20,10,25,25,1904.476106,3251.083843,1346.607737
1832,20,10,30,20,2114.518122,3301.061186,1186.543063
1833,20,10,35,15,2388.448459,3326.621703,401.5515411
